Genre.1,Emotions.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
Entertainment,Controversy,58,930100,3309.0,16036.206896551725,77.66442953020135,en
Crime,Shock -VE,42,1206314,3218.0,28721.761904761905,72.77852348993288,en
Off-beat,Heartwarming,14,258674,3028.5,18476.714285714286,62.60402684563759,en
Current-Affairs,Fear/Concern,15,98105,2847.0,6540.333333333333,52.859060402684555,en
Off-beat,Shock -VE,21,143200,2831.0,6819.047619047619,52.0,en
Sports,Controversy,19,60298,2477.0,3173.5789473684213,32.99328859060402,en
Entertainment,Curiosity,24,55100,2459.0,2295.8333333333335,32.02684563758389,en
Crime,Anger,14,37340,2317.0,2667.1428571428573,24.40268456375838,en
Entertainment,Shock -VE,18,66683,2171.5,3704.6111111111113,16.590604026845647,en
Current-Affairs,Shock -VE,42,107001,2157.0,2547.6428571428573,15.812080536912742,en
Off-beat,Surprise +VE,19,67803,2030.0,3568.5789473684213,8.99328859060402,en
Entertainment,Sadness,8,18410,2027.5,2301.25,8.859060402684559,en
Politics,Shock -VE,9,23311,1840.0,2590.1111111111113,-1.2080536912751683,en
Entertainment,Happiness,25,58698,1815.0,2347.92,-2.550335570469797,en
Off-beat,Curiosity,9,86176,1779.0,9575.111111111111,-4.483221476510069,en
Current-Affairs,Anger,21,39507,1742.0,1881.2857142857142,-6.469798657718117,en
International Politics,Anger,11,24600,1714.0,2236.3636363636365,-7.973154362416112,en
Sports,Surprise +VE,12,23284,1710.5,1940.3333333333333,-8.161073825503351,en
Entertainment,Surprise +VE,15,41054,1650.0,2736.9333333333334,-11.409395973154357,en
Entertainment,Fandom,20,40471,1595.0,2023.55,-14.362416107382547,en
International Politics,Breaking News,10,16362,1547.0,1636.2,-16.939597315436238,en
Off-beat,Pride,8,13142,1538.0,1642.75,-17.422818791946305,en
International Politics,Shock -VE,9,14045,1512.0,1560.5555555555557,-18.81879194630872,en
Current-Affairs,Controversy,13,20990,1458.0,1614.6153846153845,-21.718120805369125,en
Lifestyle,Fear/Concern,8,33916,1444.0,4239.5,-22.469798657718123,en
Entertainment,Pride,12,19983,1379.5,1665.25,-25.93288590604027,en
Current-Affairs,Surprise +VE,16,23065,1373.5,1441.5625,-26.255033557046982,en
Sports,Happiness,18,39439,1314.5,2191.0555555555557,-29.422818791946305,en
Current-Affairs,Breaking News,20,39006,1305.0,1950.3,-29.932885906040262,en
Sports,Pride,20,29608,1133.0,1480.4,-39.167785234899334,en
Sports,Breaking News,8,9542,1106.5,1192.75,-40.59060402684563,en
Current-Affairs,Curiosity,9,10653,1000.0,1183.6666666666667,-46.308724832214764,en
Politics,Pride,9,8783,995.0,975.8888888888889,-46.57718120805369,en
