post_created_date,reach,Genre.1,Emotions.1,caption,permalink,likes,comments,shares,saved,total_interactions,caption_short
13-Mar-2026,543465.0,Entertainment,Controversy,"The rift in Thalapathy Vijayâ€™s family has reached a point of no return. His son Jason Sanjay has officially dropped Vijayâ€™s initials from his name. Is the dynasty crumbling?
 ðŸ“¸ Credit: Google Images
 
 Read more from Mirchi 9 and other top sources on #dailyhunt
 
 Get the full perspective from India's top voices
 
 #ThalapathyVijay #JasonSanjay #VijayDivorce #TamilCinema #entertainment",https://www.instagram.com/p/DV0CY0MATmS/,3857.0,85.0,3652.0,444.0,8074.0,The rift in Thalapathy Vijayâ€™s family has reached a point of no return. His son Jason Sanjay has officially dropped Vijayâ€™s initials fro
16-Mar-2026,145106.0,Entertainment,Controversy,"The Vijay-Trisha saga just took a family turn! 🏰 Netizens spotted Uma Krishnan (Trisha's mom) liking a ""100% confirmed"" wedding post. With Vijay’s political journey and personal life in the spotlight, this could be the biggest news of 2026.
📸 Credit: Ek Jhalak English

Read more from Ek Jhalak English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#ThalapathyVijay #TrishaKrishnan #entertainment #tamilcinema",https://www.instagram.com/p/DV73zLzglmD/,1543.0,33.0,6220.0,307.0,8122.0,"The Vijay-Trisha saga just took a family turn! 🏰 Netizens spotted Uma Krishnan (Trisha's mom) liking a ""100% confirmed"" wedding post. With V"
3-Apr-2026,71233.0,Int others,Shock -VE,"In a 37-minute YouTube video, Hina Baloch—who is originally from Karachi but now lives in London—opened up about her challenging journey surviving homophobic surroundings in Pakistan. During the conversation, she said, ""It's kind of an open secret. I believe that more than half of the Pakistan is quite Gay actually. They don't want to say it out loud, but I think 80% of Pakistan is gay and the remaining 20% are bisexuals. I don't think anybody is straight in Pakistan."" Further she added that, most of the people don't want to accept it and bring religion and culture into it. Citing her personal journey she said that this is the reason she did not worry much about her sexuality.
📸 Credit: AI

Read more from The Free Press Journal and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#HinaBaloch #LGBTQ #Pakistan #ViralVideo #intother",https://www.instagram.com/p/DWqhQHjl_Tv/,1144.0,108.0,11752.0,406.0,13436.0,"In a 37-minute YouTube video, Hina Baloch—who is originally from Karachi but now lives in London—opened up about her challenging journey sur"
13-Mar-2026,56830.0,Cultural,Devotion/Spiritual,"âœ¨ New Year, Golden Beginnings! ðŸš© This Gudi Padwa (March 19), donâ€™t just raise the Gudi raise your net worth. Whether itâ€™s a traditional Nath or a 24K gold coin, buying gold on this ""Sade Teen Muhurat"" day is believed to invite Goddess Lakshmi for the whole year. ðŸ’°
 ðŸ“¸ Credit: AI Generated
 
 Read more from Inside Dailyhunt English and other top sources on #dailyhunt
 
 Get the full perspective from India's top voices 
 
 #gudipadwa2026 #culture #gold",https://www.instagram.com/p/DV0uduFjgHH/,343.0,0.0,266.0,103.0,714.0,"âœ¨ New Year, Golden Beginnings! ðŸš© This Gudi Padwa (March 19), donâ€™t just raise the Gudi raise your net worth. Whether itâ€™s a traditi"
9-Mar-2026,49064.0,Off-beat,Shock -VE,"The most unsettling family reveal is going viral. A mother admits the biological father of her child is her own son. The internet is in a meltdown. See the details on DH.
📸 Credit: AI Generated

Read more from Gyan Hi Gyan English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#FamilySecret #ShockingNews #ViralConfession #offbeat",https://www.instagram.com/p/DVp_SHboJEk/,141.0,4.0,127.0,75.0,352.0,The most unsettling family reveal is going viral. A mother admits the biological father of her child is her own son. The internet is in a me
30-Mar-2026,35046.0,Business,Shock -VE,"The escalating West Asia conflict is impacting India’s healthcare and consumer sectors, with companies like HLL Lifecare, Mankind Pharma, and Cupid Limited reporting shortages of key raw materials for condom production. Supply disruptions in the Persian Gulf are raising costs and may lead to higher retail prices, as essential inputs like anhydrous ammonia and silicone oil become scarce.

Read more from Latestly and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#CondomIndustry #PriceHike #GlobalConflict #current",https://www.instagram.com/p/DWfkJprFr3n/,184.0,10.0,3393.0,104.0,3693.0,"The escalating West Asia conflict is impacting India’s healthcare and consumer sectors, with companies like HLL Lifecare, Mankind Pharma, an"
22-Mar-2026,25664.0,Current-Affairs,Fear/Concern,"Goa, India’s most iconic beach destination, is now facing a serious environmental warning. A recent study by the National Institute of Oceanography (NIO) has revealed that several Goan beaches rank among the most contaminated along India’s western coastline, raising concerns about long-term ecological and public health impacts. Among samples from 14 beaches across India, Goa recorded the highest concentration of toxic Polycyclic Aromatic Hydrocarbons (PAHs)—ranging from 1.9 to 29,500 ng/g in plastic pellets, significantly higher than other regions.
📸 Credit: AI

Read more from Trak.in and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#NIOStudy #EnvironmentalCrisis #GoaBeaches #MarinePollution #current",https://www.instagram.com/p/DWLqSdkgtvO/,430.0,32.0,1008.0,70.0,1572.0,"Goa, India’s most iconic beach destination, is now facing a serious environmental warning. A recent study by the National Institute of Ocean"
6-Apr-2026,19686.0,Entertainment,Heartwarming,"Vijay Deverakonda shared a heartfelt birthday wish for Rashmika Mandanna, marking her first birthday after their wedding. Reposting a BTS clip from Ranabaali, he celebrated her transformation into Jayamma and wrote, “I love you Jayamma :)”, adding a personal and emotional touch that fans loved as the actress turned 30.
📸 Credit: Zee News

Read more from Zee News English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#RashmikaMandanna #VijayDeverakonda #Ranabaali #CelebrityLove #entertainment",https://www.instagram.com/p/DWyUNuRCGgM/,164.0,2.0,1.0,24.0,194.0,"Vijay Deverakonda shared a heartfelt birthday wish for Rashmika Mandanna, marking her first birthday after their wedding. Reposting a BTS cl"
7-Mar-2026,14260.0,Int others,Shock -VE,"Dubai may have only 10 days of fresh food supplies left as the West Asia conflict disrupts shipping lanes and air cargo routes. A logistics CEO warned falling air freight and port disruptions could quickly impact imports in the Gulf.
📸 Credit: AI-Generated

Read more from News18 English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#Dubai #FoodSupply #Israel #Iran #intother",https://www.instagram.com/p/DVkiPqwiib_/,126.0,0.0,634.0,34.0,797.0,Dubai may have only 10 days of fresh food supplies left as the West Asia conflict disrupts shipping lanes and air cargo routes. A logistics 
11-Mar-2026,14149.0,Sports,Controversy,"India won the ICC Men’s T20 World Cup 2026 with a 96-run victory over New Zealand at the Narendra Modi Stadium under captain Suryakumar Yadav, becoming the first team to defend the title and win it on home soil. However, celebrations were overshadowed by rumours of a rift between brothers Hardik Pandya and Krunal Pandya after Krunal and his wife were absent from the final.
📸 Credit: FPJ

Read more from The Free Press Journal and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#HardikPandya #KrunalPandya #PandyaBrothers #CricketGossip #sports",https://www.instagram.com/p/DVvcalMEkh0/,92.0,1.0,15.0,4.0,113.0,India won the ICC Men’s T20 World Cup 2026 with a 96-run victory over New Zealand at the Narendra Modi Stadium under captain Suryakumar Yada
